"Week","None","D0","D1","D2","D3","D4","DSCI"
"2023-03-14","47.51","16.70","20.06","10.41","3.76","1.56","111"
"2023-03-07","45.13","17.22","20.92","11.42","3.79","1.52","116"
"2023-02-28","45.00","16.54","21.15","11.66","4.10","1.55","118"
"2023-02-21","42.54","15.93","23.26","12.80","3.83","1.64","124"
"2023-02-14","42.69","15.96","22.42","13.32","3.91","1.70","125"
"2023-02-07","39.70","18.42","22.27","13.29","4.56","1.77","130"
"2023-01-31","38.41","18.94","21.26","13.97","5.68","1.74","135"
"2023-01-24","37.08","19.93","21.32","14.19","5.70","1.78","137"
"2023-01-17","35.15","21.00","20.61","15.33","6.12","1.79","142"
"2023-01-10","33.52","22.47","19.95","15.66","6.61","1.79","145"
"2023-01-03","30.50","23.24","20.02","16.38","8.00","1.85","154"
"2022-12-27","25.95","24.40","21.43","17.46","8.42","2.34","165"
"2022-12-20","26.07","24.62","21.10","17.46","8.42","2.34","165"
"2022-12-13","22.38","24.42","23.09","18.83","8.92","2.36","175"
"2022-12-06","21.47","23.05","24.39","18.68","9.59","2.82","180"
"2022-11-29","20.25","22.24","25.36","19.14","10.22","2.78","185"
"2022-11-22","18.22","22.48","26.26","19.07","11.09","2.87","191"
"2022-11-15","18.09","22.83","26.16","18.98","11.10","2.84","191"
"2022-11-08","14.96","24.70","25.51","20.67","11.15","3.01","197"
"2022-11-01","14.72","22.50","26.42","21.91","11.48","2.97","202"
"2022-10-25","15.54","21.51","26.89","21.43","11.77","2.85","201"
"2022-10-18","17.77","22.89","24.92","19.74","11.63","3.05","194"
"2022-10-11","18.22","26.37","22.32","18.60","11.53","2.96","188"
"2022-10-04","22.60","24.85","20.15","18.71","11.02","2.68","179"
"2022-09-27","24.85","24.27","20.63","17.75","9.94","2.56","171"
"2022-09-20","31.02","20.07","19.11","18.11","9.44","2.24","162"
"2022-09-13","33.76","21.07","15.95","18.04","9.42","1.77","154"
"2022-09-06","36.28","19.69","15.07","17.53","9.69","1.73","150"
"2022-08-30","35.57","18.90","14.82","17.66","11.04","2.00","156"
"2022-08-23","35.62","17.47","14.15","18.05","12.12","2.59","161"
"2022-08-16","33.39","17.43","14.37","17.50","13.41","3.89","172"
